1299843154	20250418	202504	2025	2025.2959	ARG	ROSARIO	ARG																		1	030	030	03	1	4.0	6	1	6	-2.76497695852534	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20260418110000	https://www.courant.com/2026/04/18/kevin-rennie-the-mysterious-firing-of-a-ct-state-employee-who-serves-the-nation-in-a-dangerous-time/
1299843155	20250418	202504	2025	2025.2959	ARG	ROSARIO	ARG								USA	UNITED STATES	USA								1	030	030	03	1	4.0	2	1	2	-2.76497695852534	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20260418110000	https://www.courant.com/2026/04/18/kevin-rennie-the-mysterious-firing-of-a-ct-state-employee-who-serves-the-nation-in-a-dangerous-time/
1299843156	20260319	202603	2026	2026.2164	CRM	CARTEL						CRM			USAMED	REUTERS	USA					MED			0	051	051	05	1	3.4	3	1	3	-1.13493064312736	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20260418110000	https://edition.cnn.com/2026/04/18/politics/trump-iran-position-republicans-war
1299843157	20260319	202603	2026	2026.2164	USAMED	REUTERS	USA					MED			IRN	IRAN	IRN								0	051	051	05	1	3.4	3	1	3	-1.13493064312736	1	Mexico	MX	MX		23	-102	MX	1	Iran	IR	IR		32	53	IR	1	Mexico	MX	MX		23	-102	MX	20260418110000	https://edition.cnn.com/2026/04/18/politics/trump-iran-position-republicans-war
1299843158	20260319	202603	2026	2026.2164	USAMED	REUTERS	USA					MED			MEX	MEXICAN	MEX								0	051	051	05	1	3.4	6	1	6	-1.13493064312736	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	1	Mexico	MX	MX		23	-102	MX	1	Iran	IR	IR		32	53	IR	20260418110000	https://edition.cnn.com/2026/04/18/politics/trump-iran-position-republicans-war
1299843159	20260319	202603	2026	2026.2164	USAMED	REUTERS	USA					MED			MEXGOV	MEXICAN	MEX					GOV			0	051	051	05	1	3.4	18	1	18	-1.13493064312736	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	1	Mexico	MX	MX		23	-102	MX	20260418110000	https://edition.cnn.com/2026/04/18/politics/trump-iran-position-republicans-war
1299843160	20260411	202604	2026	2026.2767	IRN	IRAN	IRN								USA	THE US	USA								0	046	046	04	1	7.0	2	1	2	-6.43203883495145	4	Antalya, Antalya, Turkey	TU	TU07	27547	36.9081	30.6956	-735347	4	Antalya, Antalya, Turkey	TU	TU07	27547	36.9081	30.6956	-735347	4	Antalya, Antalya, Turkey	TU	TU07	27547	36.9081	30.6956	-735347	20260418110000	https://www.smh.com.au/world/middle-east/iran-reimposes-restrictions-on-strait-of-hormuz-accusing-us-of-violating-deal-20260418-p5zp27.html
1299843161	20260411	202604	2026	2026.2767	IRN	IRAN	IRN								USA	THE US	USA								0	046	046	04	1	7.0	2	1	2	-6.07940446650124	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20260418110000	https://www.manchestereveningnews.co.uk/news/world-news/iran-closes-strait-hormuz-again-33794765
1299843162	20260411	202604	2026	2026.2767	ISR	ISRAEL	ISR								IRN	IRANIAN	IRN								0	1056	105	10	3	-5.0	1	1	1	-6.43203883495145	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Israel	IS	IS		31.5	34.75	IS	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20260418110000	https://www.smh.com.au/world/middle-east/iran-reimposes-restrictions-on-strait-of-hormuz-accusing-us-of-violating-deal-20260418-p5zp27.html
1299843163	20260411	202604	2026	2026.2767	ISR	ISRAEL	ISR								LBN	LEBANON	LBN								0	085	085	08	2	7.0	1	1	1	-6.43203883495145	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20260418110000	https://www.smh.com.au/world/middle-east/iran-reimposes-restrictions-on-strait-of-hormuz-accusing-us-of-violating-deal-20260418-p5zp27.html
